index,time
2757,2020-07-24 15:47:45.505
2758,2020-07-24 15:47:58.400
2759,2020-07-24 15:48:01.914
2760,2020-07-24 15:48:24.110
2761,2020-07-24 15:48:45.217
2762,2020-07-24 15:48:53.112
2763,2020-07-24 15:49:18.092
2764,2020-07-24 15:49:27.195
2765,2020-07-24 15:49:54.169
2766,2020-07-24 15:52:08.022
2767,2020-07-24 15:52:47.089
2768,2020-07-24 15:52:58.678
2769,2020-07-24 15:53:04.797
2770,2020-07-24 15:53:20.921
2771,2020-07-24 15:53:34.658
2772,2020-07-24 15:53:39.185
2773,2020-07-24 15:54:03.905
2774,2020-07-24 15:54:10.610
2775,2020-07-24 15:54:15.742
2776,2020-07-24 15:55:00.499
2777,2020-07-24 15:55:01.509
2778,2020-07-24 15:55:03.921
2779,2020-07-24 15:55:31.592
2780,2020-07-24 15:55:41.457
2781,2020-07-24 15:56:20.074
2782,2020-07-24 15:56:25.974
2783,2020-07-24 15:56:42.722
2784,2020-07-24 15:56:46.455
2785,2020-07-24 15:56:54.050
2786,2020-07-24 15:56:54.961
2787,2020-07-24 15:57:01.717
2788,2020-07-24 15:57:25.508
2789,2020-07-24 15:57:27.378
2790,2020-07-24 15:57:31.043
2791,2020-07-24 15:58:04.135
2792,2020-07-24 15:58:50.532
2793,2020-07-24 15:59:06.869
2794,2020-07-24 15:59:18.930
2795,2020-07-24 15:59:37.390
2796,2020-07-24 15:59:58.540
2797,2020-07-24 16:00:36.867
2798,2020-07-24 16:00:42.149
2799,2020-07-24 16:00:51.290
2800,2020-07-24 16:01:02.079
2801,2020-07-24 16:01:02.354
2802,2020-07-24 16:01:24.150
2803,2020-07-24 16:01:27.784
2804,2020-07-24 16:01:30.703
2805,2020-07-24 16:01:37.415
2806,2020-07-24 16:01:47.605
2807,2020-07-24 16:01:56.856
2808,2020-07-24 16:01:59.742
2809,2020-07-24 16:03:19.995
2810,2020-07-24 16:03:55.344
2811,2020-07-24 16:04:10.540
2812,2020-07-24 16:04:14.237
2813,2020-07-24 16:04:21.131
2814,2020-07-24 16:05:13.070
2815,2020-07-24 16:05:21.845
2816,2020-07-24 16:07:16.093
2817,2020-07-24 16:07:17.063
2818,2020-07-24 16:07:41.312
2819,2020-07-24 16:08:24.199
2820,2020-07-24 16:08:31.300
2821,2020-07-24 16:08:44.705
2822,2020-07-24 16:08:54.011
2823,2020-07-24 16:09:13.458
2824,2020-07-24 16:09:30.417
2825,2020-07-24 16:09:42.628
2826,2020-07-24 16:09:57.657
2827,2020-07-24 16:10:09.567
2828,2020-07-24 16:10:20.237
2829,2020-07-24 16:11:23.391
2830,2020-07-24 16:11:24.884
2831,2020-07-24 16:11:34.498
2832,2020-07-24 16:11:38.272
2833,2020-07-24 16:11:41.268
2834,2020-07-24 16:12:14.561
2835,2020-07-24 16:12:23.347
2836,2020-07-24 16:12:24.258
2837,2020-07-24 16:12:26.256
2838,2020-07-24 16:12:27.302
2839,2020-07-24 16:12:31.656
2840,2020-07-24 16:12:33.159
2841,2020-07-24 16:12:53.123
2842,2020-07-24 16:13:00.117
2843,2020-07-24 16:13:24.447
2844,2020-07-24 16:13:48.718
2845,2020-07-24 16:14:18.469
2846,2020-07-24 16:14:41.584
2847,2020-07-24 16:14:42.488
2848,2020-07-24 16:15:06.235
2849,2020-07-24 16:15:17.197
2850,2020-07-24 16:15:24.872
2851,2020-07-24 16:16:05.808
2852,2020-07-24 16:16:13.262
2853,2020-07-24 16:16:39.099
2854,2020-07-24 16:16:45.899
2855,2020-07-24 16:16:58.698
2856,2020-07-24 16:17:18.125
2857,2020-07-24 16:17:21.569
2858,2020-07-24 16:17:40.190
2859,2020-07-24 16:17:46.525
2860,2020-07-24 16:17:55.886
2861,2020-07-24 16:18:18.213
2862,2020-07-24 16:18:42.092
2863,2020-07-24 16:19:17.167
2864,2020-07-24 16:19:21.278
2865,2020-07-24 16:19:34.660
2866,2020-07-24 16:19:57.861
2867,2020-07-24 16:20:03.044
2868,2020-07-24 16:20:22.969
2869,2020-07-24 16:20:51.305
2870,2020-07-24 16:20:56.078
2871,2020-07-24 16:21:10.101
2872,2020-07-24 16:21:36.429
2873,2020-07-24 16:21:42.655
2874,2020-07-24 16:22:44.909
2875,2020-07-24 16:23:10.637
2876,2020-07-24 16:23:55.710
2877,2020-07-24 16:23:59.212
2878,2020-07-24 16:24:01.090
2879,2020-07-24 16:24:29.227
2880,2020-07-24 16:25:16.126
2881,2020-07-24 16:25:40.243
2882,2020-07-24 16:25:44.104
2883,2020-07-24 16:25:54.003
2884,2020-07-24 16:26:03.899
2885,2020-07-24 16:26:12.917
2886,2020-07-24 16:26:15.654
2887,2020-07-24 16:26:32.212
2888,2020-07-24 16:26:46.089
2889,2020-07-24 16:26:55.697
2890,2020-07-24 16:26:58.112
2891,2020-07-24 16:27:01.035
2892,2020-07-24 16:27:02.740
2893,2020-07-24 16:27:10.503
2894,2020-07-24 16:27:24.646
2895,2020-07-24 16:27:37.553
2896,2020-07-24 16:27:59.079
2897,2020-07-24 16:28:21.233
2898,2020-07-24 16:28:30.973
2899,2020-07-24 16:28:40.805
2900,2020-07-24 16:29:03.429
2901,2020-07-24 16:29:18.171
